;tender_name;data_created;tender_id;data_execution;documents;organization;goods
0;"Закупка Брянский Филиал АО ""КЦ"" металлоизделия, металлопрокат (id869337)";Дата создания: 7 марта 2024;ID: 869337;Прием заявок до: 12 марта 2024 12:00 MSK;[];Публичное акционерное общество Группа Черкизово;"[{'name': 'Труба профильная 40х40х2,0 AISI 304', 'count': '36', 'type': '36', 'url': 'https://www.tender.pro/api/position/19699988/view'}, {'name': 'Труба профильная 40х20х2,0 AISI304', 'count': '36', 'type': 'пог. м', 'url': 'https://www.tender.pro/api/position/19699989/view'}, {'name': 'Труба профильная 20х20х2 AISI 304 нержавеющая', 'count': '36', 'type': '36', 'url': 'https://www.tender.pro/api/position/19699990/view'}, {'name': 'Лист нерж. 2мм AISI 304', 'count': '1', 'type': 'пог. м', 'url': 'https://www.tender.pro/api/position/19699991/view'}, {'name': 'Труба профильная 40х40х2,0 AISI 304', 'count': '60', 'type': '36', 'url': 'https://www.tender.pro/api/position/19699992/view'}, {'name': 'Лист нержавеющий AISI 304 3х1250х2500 мм', 'count': '5', 'type': 'м', 'url': 'https://www.tender.pro/api/position/19699993/view'}, {'name': 'Лист нерж 2,5х1250х2500 AISI 304', 'count': '5', 'type': '1', 'url': 'https://www.tender.pro/api/position/19699994/view'}, {'name': 'Манжета армированая 35x47x5', 'count': '32', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19699995/view'}, {'name': 'Профлист ПС-20 0,5х1165х3300', 'count': '2', 'type': '60', 'url': 'https://www.tender.pro/api/position/19699996/view'}, {'name': 'Круг калиброванный D20 AISI 304 (08X18H10) ГОСТ 7417-75', 'count': '20', 'type': 'пог. м', 'url': 'https://www.tender.pro/api/position/19699997/view'}, {'name': 'Закупка Брянский Филиал АО ""КЦ"" металлоизделия, металлопрокат (id869337)', 'count': 'ID', 'type': '5', 'url': 'https://www.tender.pro/api/tender/869337/view_public'}]"
1;"Отбор поставщика трубы стальной электросварной 40х1,5 ГОСТ 10704 мерной длины ""РУСАЛ Каменск-Уральский"" (id869313)";Дата создания: 7 марта 2024;ID: 869313;Прием заявок до: 14 марта 2024 23:00 MSK;[];Филиал АО РУСАЛ Урал в Каменск-Уральском Объединённая компания РУСАЛ Уральский алюминиевый завод;"[{'name': 'Труба 40х1,5 Ст10 (8000шт. труб по 3050мм) ГОСТ 10704-91', 'count': '34.75', 'type': '34.75', 'url': 'https://www.tender.pro/api/position/19699847/view'}, {'name': 'Отбор поставщика трубы стальной электросварной 40х1,5 ГОСТ 10704 мерной длины ""РУСАЛ Каменск-Уральский"" (id869313)', 'count': 'ID', 'type': 'тн', 'url': 'https://www.tender.pro/api/tender/869313/view_public'}]"
2;Открытый конкурсный отбор  (id869301);Дата создания: 7 марта 2024;ID: 869301;Прием заявок до: 20 марта 2024 12:00 MSK;[];ООО ЛОКОТЕХ-СЕРВИС;[{'name': 'Анод ГПРХХ Ц0 10х500х1000 ГОСТ 1180-2021', 'count': '23.3', 'type': '23.3', 'url': 'https://www.tender.pro/api/position/19699387/view'}, {'name': 'Анод ГПРХХ 8х500х1000 Ц0 ГОСТ 1180-2021', 'count': '236', 'type': 'кг', 'url': 'https://www.tender.pro/api/position/19699388/view'}, {'name': 'Лента ДПРНТ 0,5х300 НД БрКМц3-1 ГОСТ 4748-2021', 'count': '37.13', 'type': '236', 'url': 'https://www.tender.pro/api/position/19699389/view'}, {'name': 'Лист ДПРНМ 0,5х600х1500 М1 ГОСТ 1173-2006', 'count': '318', 'type': 'кг', 'url': 'https://www.tender.pro/api/position/19699390/view'}, {'name': 'Лист ДПРНМ 1х600х1500 М1 ГОСТ 1173-2006', 'count': '231', 'type': '37.13', 'url': 'https://www.tender.pro/api/position/19699391/view'}, {'name': 'Лист ДПРНТ 1х600х1500 М1 ГОСТ 1173-2006', 'count': '120.16', 'type': 'кг', 'url': 'https://www.tender.pro/api/position/19699392/view'}, {'name': 'Лист ДПРНМ 1,5х600х1500 М1 ГОСТ 1173-2006', 'count': '279', 'type': '318', 'url': 'https://www.tender.pro/api/position/19699393/view'}, {'name': 'Лист ДПРХМ 1,5х600х1500 М3 ГОСТ 1173-2006', 'count': '65.5', 'type': 'кг', 'url': 'https://www.tender.pro/api/position/19699394/view'}, {'name': 'Лист ДПРХХ 1,5 М1 ГОСТ 1173-2006', 'count': '54', 'type': '231', 'url': 'https://www.tender.pro/api/position/19699395/view'}, {'name': 'Лист ДПРНМ 3 Л63 ГОСТ 2208-2007', 'count': '12', 'type': 'кг', 'url': 'https://www.tender.pro/api/position/19699396/view'}]
3;Арматура и металлопрокат для строительства фундаментов главного корпуса ЗИФ на месторождении Кумроч для нужд АО Быстринская горная компания (id869303);Дата создания: 7 марта 2024;ID: 869303;Прием заявок до: 15 марта 2024 13:00 MSK;[];"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЫСТРИНСКАЯ ГОРНАЯ КОМПАНИЯ""";[{'name': 'Арматура 6х6000-А240С ГОСТ 34028-2016', 'count': '0.62', 'type': '0.62', 'url': 'https://www.tender.pro/api/position/19699431/view'}, {'name': 'Арматура 10х6000-А240С ГОСТ 34028-2016', 'count': '49.15', 'type': 'т', 'url': 'https://www.tender.pro/api/position/19699432/view'}, {'name': 'Арматура 12х6000-А240С ГОСТ 34028-2016', 'count': '15.5', 'type': '49.15', 'url': 'https://www.tender.pro/api/position/19699433/view'}, {'name': 'Арматура 12х6000-А400 ГОСТ 34028-2016', 'count': '4.47', 'type': 'т', 'url': 'https://www.tender.pro/api/position/19699434/view'}, {'name': 'Арматура 16х6000-А400 ГОСТ 34028-2016', 'count': '13.1', 'type': '15.5', 'url': 'https://www.tender.pro/api/position/19699435/view'}, {'name': 'Арматура 20х6000-А400 ГОСТ 34028-2016', 'count': '6.2', 'type': 'т', 'url': 'https://www.tender.pro/api/position/19699436/view'}, {'name': 'Арматура А 500 CE 10х6000 ГОСТ 34028-2016', 'count': '66.5', 'type': '4.47', 'url': 'https://www.tender.pro/api/position/19699437/view'}, {'name': 'Арматура А 500 CE 12х6000 ГОСТ 34028-2016', 'count': '138.49', 'type': 'т', 'url': 'https://www.tender.pro/api/position/19699438/view'}, {'name': 'Арматура А 500 CE 16х6000 ГОСТ 34028-2016', 'count': '217', 'type': '13.1', 'url': 'https://www.tender.pro/api/position/19699439/view'}, {'name': 'Арматура А 500 CE 20х6000 ГОСТ 34028-2016', 'count': '5.3', 'type': 'т', 'url': 'https://www.tender.pro/api/position/19699440/view'}, {'name': 'Арматура и металлопрокат для строительства фундаментов главного корпуса ЗИФ на месторождении Кумроч для нужд АО Быстринская горная компания (id869303)', 'count': 'ID', 'type': '6.2', 'url': 'https://www.tender.pro/api/tender/869303/view_public'}]
4;Закупка хозяйственных товаров (Республика Башкортостан, Пермский край, Челябинская область) ЧЕРКИЗОВО (id869262);Дата создания: 7 марта 2024;ID: 869262;Прием заявок до: 15 марта 2024 10:00 MSK;[];Публичное акционерное общество Группа Черкизово;"[{'name': 'Средство для уборки туалета Лайма ""Professional"", гель, с отбеливающим эффектом, 1 л', 'count': '35', 'type': '35', 'url': 'https://www.tender.pro/api/position/19698714/view'}, {'name': 'Бальзам для волос Чистая Линия 380мл', 'count': '970', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19698715/view'}, {'name': 'Бочка из ПНД 50 л синяя с крышкой', 'count': '14', 'type': '970', 'url': 'https://www.tender.pro/api/position/19698716/view'}, {'name': 'Бочка стальная 210 л синяя с крышкой', 'count': '10', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19698717/view'}, {'name': 'Бумага туалетная д/дисп Терес Эконом мини 1сл бел 200м 12рул/уп T-0024', 'count': '158', 'type': '14', 'url': 'https://www.tender.pro/api/position/19698718/view'}, {'name': 'Бумага туалетная для диспенсеров Luscan Professional 1-слойная белая 200 метров (12 рул/упак)', 'count': '33', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19698719/view'}, {'name': 'Бумага туалетная со втулкой, 1-слойная, 54м', 'count': '3965', 'type': '10', 'url': 'https://www.tender.pro/api/position/19698720/view'}, {'name': 'Бумажные Полотенца 2шт 2х слойные белые Лилия', 'count': '610', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19698721/view'}, {'name': 'Вантуз для раковин и ванн (пластик, диаметр 13 см)', 'count': '9', 'type': '158', 'url': 'https://www.tender.pro/api/position/19698722/view'}, {'name': 'Ведро оцинкованное 12 л, без крышки', 'count': '48', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19698723/view'}, {'name': 'Закупка хозяйственных товаров (Республика Башкортостан, Пермский край, Челябинская область) ЧЕРКИЗОВО (id869262)', 'count': 'ID', 'type': '33', 'url': 'https://www.tender.pro/api/tender/869262/view_public'}]"
5;ЗАПРОС №2 (Эл. материалы) Материалы для системы освещения периметра (март 2024г. для ОБ-141030) (id869195);Дата создания: 7 марта 2024;ID: 869195;Прием заявок до: 15 марта 2024 14:00 MSK;[];АКЦИОНЕРНОЕ ОБЩЕСТВО ШАХТОУПРАВЛЕНИЕ ОБУХОВСКАЯ;[{'name': 'Щит металлический ЩМП-7.5.2 IP66 (700×500×200) TDM арт. SQ0905-1010', 'count': '6', 'type': '6', 'url': 'https://www.tender.pro/api/position/19698165/view'}, {'name': 'Автоматический выключатель, на DIN- рейку IEK BA47-29 ЗР, 32А, тип С', 'count': '6', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19698166/view'}, {'name': 'Автоматический выключатель, на DIN- рейку IEK BA47-29 3Р, 16А, тип С', 'count': '12', 'type': '6', 'url': 'https://www.tender.pro/api/position/19698167/view'}, {'name': 'Автоматический выключатель, на DIN- рейку IEK BA47-29 1Р, 10А, тип С', 'count': '15', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19698168/view'}, {'name': 'Зажим винтовой ЗВИ-5 1,5-4мм² 12 пар', 'count': '15', 'type': '12', 'url': 'https://www.tender.pro/api/position/19698169/view'}, {'name': 'Шина нулевая в комбинированном DIN-изоляторе типа «стойка» ШНИ-8×12-8-КС-С', 'count': '12', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19698170/view'}, {'name': 'DIN-рейка(40см) оцинкованная 35мм ширина', 'count': '12', 'type': '15', 'url': 'https://www.tender.pro/api/position/19698171/view'}, {'name': 'Фотореле на DIN – рейку, с выносным датчиком. Максимальная мощность 3680 Вт, IP65, кабель 5м', 'count': '6', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19698172/view'}, {'name': 'Контактор КМИ-22510 25 А400 В/АС 1НО', 'count': '6', 'type': '15', 'url': 'https://www.tender.pro/api/position/19698173/view'}, {'name': 'Переключатель LAY5-BJ33 3полож. ״I-0-II״ длин. Ручка IEK', 'count': '6', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19698174/view'}]
6;"Закупка ТМЦ для АО ""РУСАЛ Саяногорск"" (id866161) (2-й этап торгов) (id868942)";Дата создания: 7 марта 2024;ID: 868942;Прием заявок до: 8 марта 2024 06:00 MSK;[];"Акционерное общество ""РУСАЛ Саяногорский Алюминиевый Завод""";"[{'name': 'Труба 102х6 Ст20 ГОСТ 8732-78', 'count': '0.3', 'type': '0.3', 'url': 'https://www.tender.pro/api/position/19695125/view'}, {'name': 'Труба 108х16 Ст20 ГОСТ 8732-78', 'count': '0.5', 'type': 'тн', 'url': 'https://www.tender.pro/api/position/19695126/view'}, {'name': 'Труба 14х1.5 Ст12Х18Н10Т ГОСТ 9941-81', 'count': '0.02', 'type': '0.5', 'url': 'https://www.tender.pro/api/position/19695127/view'}, {'name': 'Труба 16х1.5 Ст12Х18Н10Т ГОСТ 9941-81', 'count': '0.115', 'type': 'тн', 'url': 'https://www.tender.pro/api/position/19695128/view'}, {'name': 'Труба 16х2 Ст12Х18Н10Т ГОСТ 9941-81', 'count': '0.03', 'type': '0.02', 'url': 'https://www.tender.pro/api/position/19695129/view'}, {'name': 'Труба 20х2.5 Ст20 ГОСТ 8732-78', 'count': '0.15', 'type': 'тн', 'url': 'https://www.tender.pro/api/position/19695130/view'}, {'name': 'Труба 377х10 Ст20 ГОСТ 8732-78', 'count': '1', 'type': '0.115', 'url': 'https://www.tender.pro/api/position/19695131/view'}, {'name': 'Труба 426х9 Ст20 ГОСТ 8732-78', 'count': '1', 'type': 'тн', 'url': 'https://www.tender.pro/api/position/19695132/view'}, {'name': 'Труба э/свар.159х4.5 Ст3 10704-91', 'count': '1', 'type': '0.03', 'url': 'https://www.tender.pro/api/position/19695133/view'}, {'name': 'Труба э/свар.89х4 Ст3 10704-91', 'count': '0.3', 'type': 'тн', 'url': 'https://www.tender.pro/api/position/19695134/view'}, {'name': 'Закупка ТМЦ для АО ""РУСАЛ Саяногорск"" (id866161)', 'count': 'ID', 'type': '0.15', 'url': 'https://www.tender.pro/api/tender/866161/view_public'}]"
7;Закупка ЗИП для оборудования на ООО Тамбовская индейка ГК ЧЕРКИЗОВО (id869152);Дата создания: 7 марта 2024;ID: 869152;Прием заявок до: 15 марта 2024 17:15 MSK;[];Публичное акционерное общество Группа Черкизово;"[{'name': 'FAG 20151/PL ФИЛЬТР ДИЗЕЛЬНОГО ТОПЛИВА артOF010PL-E', 'count': '3', 'type': '3', 'url': 'https://www.tender.pro/api/position/19697667/view'}, {'name': 'CR-ABS ПЛАСТИК ДЛЯ 3Д ПРИНТЕРОВ CREALITY 1.75MM, 1КГ арт3301020031', 'count': '2', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19697668/view'}, {'name': 'CR-PETG ПЛАСТИК ДЛЯ 3Д ПРИНТЕРОВ CREALITY 1.75MM, 1КГ арт \xa03301030035', 'count': '2', 'type': '2', 'url': 'https://www.tender.pro/api/position/19697669/view'}, {'name': '3D ПРИНТЕР CREALITY K1C', 'count': '1', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19697670/view'}, {'name': 'Насос дозатор Seko Kompact DPT200', 'count': '6', 'type': '2', 'url': 'https://www.tender.pro/api/position/19697671/view'}, {'name': 'Инжекторный клапан впрыска Seko под трубку 4 х 6 мм, PVDF-T/FPM арт9900107158/1', 'count': '24', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19697672/view'}, {'name': 'Датчик давления Danfoss MBS 1700 (0-10 бар) 4-20 мА, G 1/2"" (060G6105) арт060G6105', 'count': '4', 'type': '1', 'url': 'https://www.tender.pro/api/position/19697673/view'}, {'name': 'Прокладка паронитовая DN-250', 'count': '20', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19697674/view'}, {'name': 'Прокладка паронитовая DN-100', 'count': '50', 'type': '6', 'url': 'https://www.tender.pro/api/position/19697675/view'}, {'name': 'Прокладка паронитовая DN-80', 'count': '50', 'type': 'шт.', 'url': 'https://www.tender.pro/api/position/19697676/view'}]"
8;Закупка хозяйственных товаров (Брянская, Курская, Белгородская, Тамбовская, Воронежская, Пензенская, Липецкая, Московская, Тульская области) ЧЕРКИЗОВО (id869129);Дата создания: 7 марта 2024;ID: 869129;Прием заявок до: 14 марта 2024 10:00 MSK;[];Публичное акционерное общество Группа Черкизово;"[{'name': 'Средство для уборки туалета Лайма ""Professional"", гель, с отбеливающим эффектом, 1 л', 'count': '482', 'type': '482', 'url': 'https://www.tender.pro/api/position/19697212/view'}, {'name': 'Luscan Материал протирочный нетканый 60г 31,5x34см 1100л/рул 1586649', 'count': '1', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19697213/view'}, {'name': 'Rasant Blizzard Mop With Clip моп 40 см', 'count': '6', 'type': '1', 'url': 'https://www.tender.pro/api/position/19697214/view'}, {'name': 'Rasant Microclin Mop With Clip моп 40 см', 'count': '5', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19697215/view'}, {'name': 'Бальзам для волос Чистая Линия 380мл', 'count': '1732', 'type': '6', 'url': 'https://www.tender.pro/api/position/19697216/view'}, {'name': 'Бирки для ключей пластиковые зеленые (10 штук в упаковке)', 'count': '26', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19697217/view'}, {'name': 'Блюдо овальное трианон 35см (65669) (E9667)', 'count': '6', 'type': '5', 'url': 'https://www.tender.pro/api/position/19697218/view'}, {'name': 'Большой ручной совок 300х310 мм, полипропилен, черный', 'count': '4', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19697219/view'}, {'name': 'Бочка из ПНД 50 л синяя с крышкой', 'count': '74', 'type': '1732', 'url': 'https://www.tender.pro/api/position/19697220/view'}, {'name': 'Бочка пластмассовая, 227л, с крышкой', 'count': '10', 'type': 'шт', 'url': 'https://www.tender.pro/api/position/19697221/view'}, {'name': 'Закупка хозяйственных товаров (Брянская, Курская, Белгородская, Тамбовская, Воронежская, Пензенская, Липецкая, Московская, Тульская области) ЧЕРКИЗОВО (id869129)', 'count': 'ID', 'type': '26', 'url': 'https://www.tender.pro/api/tender/869129/view_public'}]"
9;"Оказание услуги технического обслуживания систем канализации ПАО ""Комбинат ""Магнезит"" и ООО ""Группа ""Магнезит (id869071)";Дата создания: 7 марта 2024;ID: 869071;Прием заявок до: 13 марта 2024 13:00 MSK;[];ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО  ПО ПРОИЗВОДСТВУ ОГНЕУПОРОВ КОМБИНАТ МАГНЕЗИТ;"[{'name': 'Гидродинамическая промывка труб диаметром 100-200мм', 'count': '1', 'type': '1', 'url': 'https://www.tender.pro/api/position/19697029/view'}, {'name': 'Гидродинамическая промывка труб диаметром до 250мм', 'count': '1', 'type': 'пог.м.', 'url': 'https://www.tender.pro/api/position/19697030/view'}, {'name': 'Гидродинамическая промывка труб диаметром до 300мм', 'count': '1', 'type': '1', 'url': 'https://www.tender.pro/api/position/19697031/view'}, {'name': 'Гидродинамическая промывка труб диаметром до 400мм', 'count': '1', 'type': 'пог.м.', 'url': 'https://www.tender.pro/api/position/19697032/view'}, {'name': 'Гидродинамическая промывка труб диаметром до 500мм', 'count': '1', 'type': '1', 'url': 'https://www.tender.pro/api/position/19697033/view'}, {'name': 'Гидродинамическая промывка труб диаметром до 600мм', 'count': '1', 'type': 'пог.м.', 'url': 'https://www.tender.pro/api/position/19697034/view'}, {'name': 'Гидродинамическая промывка труб диаметром до 700мм', 'count': '1', 'type': '1', 'url': 'https://www.tender.pro/api/position/19697035/view'}, {'name': 'Мотопомпа', 'count': '1', 'type': 'пог.м.', 'url': 'https://www.tender.pro/api/position/19697036/view'}, {'name': 'Пневматические заглушающие устройства(ПЗУ) Ду 50–100мм', 'count': '1', 'type': '1', 'url': 'https://www.tender.pro/api/position/19697037/view'}, {'name': 'Пневматические заглушающие устройства(ПЗУ) Ду 100–150мм', 'count': '1', 'type': 'пог.м.', 'url': 'https://www.tender.pro/api/position/19697038/view'}, {'name': 'Оказание услуги технического обслуживания систем канализации ПАО ""Комбинат ""Магнезит"" и ООО ""Группа ""Магнезит (id869071)', 'count': 'ID', 'type': '1', 'url': 'https://www.tender.pro/api/tender/869071/view_public'}]"
